Area_Name,Latitude,Longitude,prox_bhramaputra,prox_diporbil,prox_bharalu,prox_kopili,prox_hft,prox_epicenter,prox_sp
Christian Basti,26.187381,91.761456,0.0,9.56986293871893,2.2406889668142655,42.99452337809975,71.4656465240176,81.70043739616088,8.45048084020617
Dharapur,26.152129,91.779994,0.0,9.965677539715106,1.5364820787610767,41.157220229644,75.38549007809179,83.14391402534994,4.5306372861319755
Dispur,26.144259,91.617627,0.0,0.4095309148321339,11.577105524216009,57.36716296226246,76.26059415078406,95.64421076053708,12.885930413903681
Dr Bhabendra Nath Saikia Path,26.126707,91.797206,0.9914139659626016,11.602525580371875,4.707822481353634,39.44785432574277,78.21228750324946,84.05161739190984,1.7038398609743095
Fatasil bazaar,26.125628,91.797549,1.111393291812219,11.63687588047987,4.831892763839491,39.41397558773171,78.33226682909908,84.11848664864362,1.5838605351246922
Gandhi Basti,26.181099,91.76228,0.0,9.280649788505098,1.542162437633268,42.914617224374965,72.1641730531986,82.12155269423315,7.751954311025173
Ganesh Mandir Road,26.186762,91.795634,0.0,12.541667058041986,2.7051448611494373,39.58440972270109,71.53447618361041,79.30114679188104,8.381651180613355
Ganeshguri,26.152711,91.785438,0.0,10.512862907374624,1.5868005157535952,40.61364418986105,75.32077463078447,82.72139864178905,4.595352733439296
Garchuk,26.110887,91.709705,2.750517705479208,2.867400778923074,6.4826148205684255,48.18987862535841,79.97139124276606,91.33178115159276,3.164644740155777
Geetanagar,26.173294,91.796887,0.0,12.126288794154933,1.864075778175389,39.46394342958433,73.03204945565975,80.27998777101007,6.884077908564031
GS Road,26.149302,91.785638,0.0,10.490989107945584,1.9495949657281044,40.594867910969,75.69983813571578,82.98243487757134,4.2162892285079945
Guwahati-Shillong Road,26.124815,91.816437,1.2017947671737876,13.522638498510807,5.875697391252403,37.52857008730568,78.42266830446064,82.94634550083893,1.4934590597631237
Hatigaon,26.133882,91.777676,0.19359036728795648,9.652188493907243,3.564575763444844,41.39505325815723,77.41446390457482,84.77601588559588,2.5016634596489546
Hengerabari,26.149954,91.803765,0.0,12.29966847398283,3.006250060786325,38.78532532521416,75.62733904354333,81.69532402657397,4.2887883206804425
Jalukbari,26.865455,93.536583,183.56862181940352,201.4717858905083,191.2899531736533,53.22560000688875,164.82881546790244,118.41768194921549,187.12317518640512
Japorigog,26.159701,91.789497,0.0,11.03754055863421,1.2173606886162511,40.206102547974815,74.54352209353907,81.87966329269719,5.372605270684702
Jayanagar Road,26.122878,91.804866,1.4171793400846657,12.367653897377556,5.417668977345091,38.68439999384214,78.63805287737152,83.86512365912029,1.2780744868522453
Jorpukhuri,26.189389,91.754682,0.0,9.140769682657488,2.4639683795162943,43.66968885689117,71.24236711131557,82.04164524058442,8.673760252908199
Juripar Path,26.136798,91.818971,0.0,13.774206863880334,5.103148865758282,37.27176448108997,77.09021949847924,81.77307045849565,2.8259078657445285
Jyotinagar Road,26.187024,91.788776,0.0,11.933106118250766,2.3887648139785114,40.268622753426605,71.50534311282964,79.76595312107357,8.410784251394128
Kahi Kuchi,26.101769,91.600642,3.764393046624407,1.4514512809008342,14.847860545319232,59.08405579064021,80.98526658391127,99.99298803486128,14.055333102027578
Kahilipara,26.137319,91.764161,0.0,8.30278006149443,3.182398800567209,42.7429575172345,77.03228694169718,85.42638057850205,2.88384042252659
Kala Pahar,26.151267,91.740148,0.0,6.023734231355602,1.6314519637289457,45.13463962473328,75.48134010485892,86.01451808177053,4.4365481651197545
Kedar Road,26.178003,91.736839,0.0,6.956498603620477,1.1979029447417544,45.454496182317335,72.5084325460901,84.20839298740574,7.421671835212133
Khanapara,26.126493,91.81049,1.0152096802645516,12.92873463655431,5.368798493381873,38.12174011971396,78.23608321755141,83.19321161302808,1.6800441466723597
Kharghuli Hills,26.197957,91.765761,0.0,10.596468535982261,3.416686511007075,42.56110042242893,70.28964897982479,80.58332238735866,9.62647838439898
KK Road,26.158364,91.737242,0.0,5.9532141995792465,0.8423015693329186,45.4219306867122,74.69218971046288,85.67464662292569,5.240402102318714
Lakhimi Nagar,26.139329,91.782959,0.0,10.179100512830146,2.9792842758464,40.86576062300254,76.80878513914169,83.97340298828796,3.1073422250820797
Lal Ganesh,26.141119,91.743104,0.0,6.200887979103785,2.759858079318209,44.843493693768906,76.60974622044819,86.59700912936063,3.3063811437755897
Lokhra,26.122113,91.747136,1.502243458967765,6.604132389611871,4.873228855124652,44.448248774639204,78.72311699625462,87.82320760331724,1.1930103679691464
Lokhra Road,26.1268,91.742207,0.9810728377847935,6.11178953187396,4.352058233941682,44.93854280944065,78.20194637507166,87.79168738714215,1.7141809891521178
Maligaon,26.170411,91.683458,0.0,3.3266552983594546,4.765391856687457,50.78465332069598,73.35262442917568,88.74685882844918,8.748276839988092
Manik Nagar,26.156315,91.783466,0.0,10.377546482135113,1.1419348601078099,40.80921076713332,74.92002811515734,82.56823079571656,4.996099249066435
Mother Teresa Road,26.17583,91.803239,0.0,12.815778474393529,2.5572550844073576,38.82921141432502,72.75005912168854,79.63642644531565,7.166068242535235
Narengi Tinali,26.182462,91.830606,0.0,15.641996096752269,5.376424236583002,36.096172246252266,72.0126143681819,77.22258225118136,7.903512996041868
Narikalbasti,26.171238,91.787789,0.0,11.191703425016868,0.9420051753509168,40.372575153722835,73.26066622484059,81.0781300003491,6.655461139383179
NH-37,24.809758,93.086683,193.37465065795695,201.44447167258377,199.88746177158504,105.29507029483607,255.2635614177034,221.37688622131995,186.46907742355376
Noonmati,26.205138,91.797073,0.0,13.628720266260874,4.56638303910607,39.43460095067016,69.49115821158976,77.76625029861832,10.42496915263401
Panjabari,26.131464,91.821152,0.4624596999141495,13.992563551599595,5.657057556380283,37.0557396182193,77.68333323720101,82.07880565058858,2.232794127022762
Pator Kuchi,26.111796,91.804502,2.649441517159993,12.332482784861128,6.518272691130732,38.72441241341124,79.87031505444685,84.82095874332934,0.04581230977691819
PNGB Road,26.14569,91.686696,0.0,0.8050549533808913,4.969000781678363,50.472209433591594,76.10147421075605,90.3261785238347,6.6615485429127705
Rajgarh,26.179926,91.774099,0.0,10.27157000762201,1.4117307886791122,41.73565905920538,72.29460470215275,81.36386568707901,7.621522662071017
Rehabari,26.173799,91.748546,0.0,7.688544357392822,0.7304394731279127,44.287860466088325,72.97589601770395,83.67401972693148,6.940231346519818
RG Baruah Road,26.164747,91.780167,0.0,10.257638195640787,0.14954980378009666,41.13550312844105,73.9824324936906,82.12610331815274,5.933694870533177
Rukmini Gaon,26.137799,91.792614,0.0,11.14303276497502,3.392810536826394,39.902498364723755,76.97891337690788,83.44374457067538,2.9372139873158813
Rukmininagar,26.139103,91.798335,0.0,11.713993932270752,3.5282783676399587,39.33096770601581,76.8339151925637,82.95166678676621,3.0822121716600703
Rupnagar Road,26.158163,91.757874,0.0,7.919635019628173,0.8646517495884322,43.362806330644176,74.7145398907184,84.21526047868409,5.201587473505366
Sachal Road,26.137684,91.809752,0.0,12.85382580039671,4.359437382351162,38.19175735698706,76.991700793472,82.30720131477422,2.9244265707517694
Sewali Path,26.136934,91.783977,0.0,10.280930702686511,3.256389234578697,40.76497761844043,77.07509698845556,84.09901187087185,2.841030375768214
Silpukhuri,26.189748,91.765543,0.0,10.05522430052921,2.5038873581821512,42.58585213804158,71.2024481326497,81.22318246386145,8.713679231574057
Six Mile,26.131799,91.804288,0.42520939948841135,12.309008301668081,4.53277993980268,38.73914686748618,77.64608293677527,83.15868273416952,2.2700444274485
Sreenagar,26.161041,91.778975,0.0,10.041687672691753,0.5446327507050832,41.25577639487403,74.39452089183506,82.50351482420227,5.521606472388716
Tarun Nagar,26.165076,91.776349,0.0,9.900368379168482,0.09596122169456,41.51642484551963,73.94584936282453,82.36783116363259,5.9702780013992385
Ulubari,26.168395,91.75024,0.0,7.572712139003381,0.1295420895406652,44.12085634231063,73.5767934012912,83.9663405757363,6.33933396293257
Uzan Bazaar,26.196898,91.759013,0.0,9.99278384396902,3.2989310836906545,43.2347563410306,70.40740440714121,81.15755916242614,9.50872295708256
VIP Road,26.159076,91.81774,0.0,13.803937904746746,3.8946462459680666,37.387511045162086,74.61301892269191,80.00546982739944,5.303108441531857
Zoo Narengi Road,26.17586,91.803019,0.0,12.79589617538587,2.538165333152274,38.85115547208003,72.74672327388944,79.64927726577082,7.169404090334322
Zoo Road,26.164739,91.780137,0.0,10.254515722885598,0.14898313149859058,41.138499969678016,73.98332205310338,82.12883744270677,5.9328053111203936
